Loan_ID,Issue_Date,Borrower_City,Employment_Type,Annual_Income_INR,Loan_Purpose,Loan_Amount_INR,Funded_Amount_INR,Interest_Rate,Loan_Term_Months,Risk_Grade,Loan_Status,Total_Repayment_INR,Investor_Count,Income_Verification,Loan_Channel,Year
P2P101175,2024-09-11,Bengaluru,Salaried,20000.0,Debt Consolidation,262500.0,236400.0,11.69,12,A,Completed,276700.0,8,Verified,Web,2024
P2P101704,2024-02-29,Delhi,Salaried,71100.0,Vehicle,133300.0,126400.0,11.01,24,B,Active,52700.0,4,Verified,Web,2024
P2P101493,2022-09-11,Delhi,Salaried,56900.0,Wedding,149800.0,143500.0,10.6,36,B,Active,58500.0,4,Verified,Web,2022
P2P101908,2023-06-26,Kolkata,Business Owner,64200.0,Home Improvement,140600.0,133200.0,11.24,24,B,Completed,162600.0,3,Verified,Web,2023
P2P101759,2021-12-03,Jaipur,Salaried,57700.0,Home Improvement,240900.0,225600.0,11.95,60,B,Active,153500.0,5,Verified,Mobile App,2021
P2P100790,2025-10-27,Pune,Salaried,117000.0,Travel,175500.0,165700.0,12.37,12,B,Active,78600.0,4,Verified,Web,2025
P2P101438,2024-12-29,Mumbai,Business Owner,72500.0,Medical,286500.0,261900.0,11.92,24,B,Completed,337400.0,8,Verified,Mobile App,2024
P2P100899,2021-02-09,Delhi,Salaried,58600.0,Home Improvement,648900.0,627800.0,10.04,24,B,Completed,705700.0,16,Not Verified,Web,2021
P2P100631,2025-01-09,Delhi,Salaried,61500.0,Medical,223200.0,202100.0,8.98,12,A,Completed,239900.0,6,Verified,Mobile App,2025
P2P100168,2022-06-07,Lucknow,Salaried,40800.0,Debt Consolidation,152300.0,142600.0,8.64,48,A,Active,107800.0,5,Verified,Web,2022
P2P100948,2025-08-29,Mumbai,Self-employed,28400.0,Education,74000.0,66700.0,11.67,12,B,Completed,82600.0,2,Verified,Web,2025
P2P101925,2025-04-19,Lucknow,Salaried,45300.0,Travel,143000.0,137100.0,9.88,24,B,Active,113000.0,3,Verified,Mobile App,2025
