Loan_ID,Issue_Date,Borrower_City,Employment_Type,Annual_Income_INR,Loan_Purpose,Loan_Amount_INR,Funded_Amount_INR,Interest_Rate,Loan_Term_Months,Risk_Grade,Loan_Status,Total_Repayment_INR,Investor_Count,Income_Verification,Loan_Channel
P2P101175,2024-09-11,Bengaluru,Salaried,20000.0,Debt Consolidation,262500,236400,11.69,12,A,Completed,276700,8,Verified,Web
P2P101704,2024-02-29,Delhi,Salaried,71100.0,Vehicle,133300,126400,11.01,24,B,Active,52700,4,Verified,Web
P2P101493,2022-09-11,Delhi,Salaried,56900.0,Wedding,149800,143500,10.6,36,B,Active,58500,4,Verified,Web
P2P101908,2023-06-26,Kolkata,Business Owner,64200.0,Home Improvement,140600,133200,11.24,24,B,Completed,162600,3,Verified,Web
P2P101759,2021-12-03,Jaipur,Salaried,57700.0,Home Improvement,240900,225600,11.95,60,B,Active,153500,5,Verified,Mobile App
P2P100790,2025-10-27,Pune,Salaried,117000.0,Travel,175500,165700,12.37,12,B,Active,78600,4,Verified,Web
P2P101438,2024-12-29,Mumbai,Business Owner,72500.0,Medical,286500,261900,11.92,24,B,Completed,337400,8,Verified,Mobile App
P2P100899,2021-02-09,Delhi,Salaried,58600.0,Home Improvement,648900,627800,10.04,24,B,Completed,705700,16,Not Verified,Web
P2P100631,2025-01-09,Delhi,Salaried,61500.0,Medical,223200,202100,8.98,12,A,Completed,239900,6,Verified,Mobile App
P2P100168,2022-06-07,Lucknow,Salaried,40800.0,Debt Consolidation,152300,142600,8.64,48,A,Active,107800,5,Verified,Web
P2P100948,2025-08-29,Mumbai,Self-employed,28400.0,Education,74000,66700,11.67,12,B,Completed,82600,2,Verified,Web
P2P101925,2025-04-19,Lucknow,Salaried,45300.0,Travel,143000,137100,9.88,24,B,Active,113000,3,Verified,Mobile App
P2P100641,2021-03-03,Kolkata,Freelancer,98700.0,Debt Consolidation,200200,183800,11.15,48,A,Completed,259600,6,Verified,Mobile App
P2P101937,2022-12-19,Hyderabad,Self-employed,113800.0,Home Improvement,82700,77100,7.5,36,A,Active,41800,3,Not Verified,Web
P2P101809,2022-05-09,Mumbai,Self-employed,35700.0,Debt Consolidation,139900,132200,16.27,48,D,Active,130900,3,Verified,Mobile App
P2P100788,2023-08-27,Kolkata,Business Owner,81200.0,Debt Consolidation,151100,149600,9.87,36,A,Completed,172800,4,Not Verified,Web
P2P100310,2022-12-22,Kolkata,Business Owner,84800.0,Home Improvement,321100,295900,10.49,24,B,Active,237200,6,Verified,Mobile App
P2P101179,2025-03-09,Mumbai,Salaried,49700.0,Vehicle,321500,303900,14.76,36,D,Late,115400,9,Not Verified,Web
P2P100147,2024-08-05,Hyderabad,Salaried,20000.0,Education,131900,121700,7.62,60,A,Completed,166700,3,Verified,Mobile App
P2P101872,2022-08-09,Bengaluru,Salaried,38600.0,Debt Consolidation,277400,255300,9.2,36,A,Completed,326100,7,Verified,Mobile App
P2P100384,2025-08-01,Mumbai,Salaried,58700.0,Home Improvement,272100,269000,12.42,36,C,Completed,328600,6,Not Verified,Web
P2P100569,2025-09-03,Delhi,Salaried,66100.0,Vehicle,437600,411200,13.59,36,C,Completed,547400,8,Verified,Web
P2P101520,2025-10-02,Bengaluru,Self-employed,80700.0,Debt Consolidation,284400,262100,13.76,12,C,Defaulted,95800,7,Verified,Mobile App
P2P100212,2024-12-09,Bengaluru,Self-employed,47900.0,Vehicle,300500,297100,15.38,24,C,Completed,345000,7,Verified,Web
P2P101711,2022-03-18,Bengaluru,Salaried,52300.0,Debt Consolidation,93500,87200,9.09,36,A,Completed,110700,2,Verified,Mobile App
P2P101915,2023-11-26,Bengaluru,Salaried,107300.0,Travel,394000,393000,7.56,48,A,Completed,451800,9,Verified,Web
P2P101623,2024-05-25,Bengaluru,Business Owner,47700.0,Debt Consolidation,226800,215500,11.06,12,B,Completed,236300,8,Verified,Web
P2P100524,2025-06-18,Mumbai,Self-employed,42000.0,Home Improvement,90500,90300,10.29,24,B,Completed,98500,3,Verified,Web
P2P100175,2024-09-28,Hyderabad,Business Owner,87700.0,Debt Consolidation,242900,242800,18.73,24,D,Active,138900,5,Verified,Mobile App
P2P101396,2025-06-02,Bengaluru,Salaried,29200.0,Travel,328100,297200,14.27,24,C,Completed,383500,9,Verified,Web
